wavelength,flux,e_flux
6207.169851,1.1759738,1.1759738
6213.384167,1.1684659,1.1684659
6219.588296,1.1643907,1.1643907
6225.81387,1.1637716,1.1637716
6232.039444,1.1630468,1.1630468
6238.265019,1.1608814,1.1608814
6244.512574,1.1592985,1.1592985
6250.749407,1.1597993,1.1597993
6257.007686,1.1622452,1.1622452
6263.2665,1.1620243,1.1620243
6269.525314,1.1648726,1.1648726
6275.794851,1.1668963,1.1668963
6282.075111,1.1735954,1.1735954
6288.355907,1.1832895,1.1832895
6294.647426,1.1924635,1.1924635
6300.938944,1.2026508,1.2026508
6307.241186,1.2027463,1.2027463
6313.543963,1.2094615,1.2094615
6319.857463,1.2125381,1.2125381
6326.181686,1.2097037,1.2097037
6332.506444,1.2007403,1.2007403
6338.841926,1.1998390,1.1998390
6345.177407,1.1950622,1.1950622
6351.523611,1.1944577,1.1944577
6357.870351,1.1921353,1.1921353
6364.238537,1.1863846,1.1863846
6370.596,1.1810410,1.1810410
6376.975444,1.1778126,1.1778126
6383.34363,1.1728201,1.1728201
6389.734333,1.1715672,1.1715672
6396.1245,1.1698099,1.1698099
6402.514667,1.1720828,1.1720828
6408.916093,1.1650587,1.1650587
6415.328777,1.1697198,1.1697198
6421.740926,1.1676532,1.1676532
6428.164333,1.1631196,1.1631196
6434.598463,1.1652192,1.1652192
6441.032593,1.1587524,1.1587524
6447.466723,1.1496196,1.1496196
6453.92337,1.1442598,1.1442598
6460.368223,1.1389961,1.1389961
6466.835593,1.1338958,1.1338958
6473.302963,1.1264278,1.1264278
6479.770333,1.1160854,1.1160854
6486.259149,1.1139852,1.1139852
6492.737777,1.1087259,1.1087259
6499.237852,1.1037029,1.1037029
6505.737926,1.1001126,1.1001126
6512.238,1.0956223,1.0956223
6518.749333,1.0916539,1.0916539
6525.271389,1.0863510,1.0863510
6531.793444,1.0814354,1.0814354
6538.326223,1.0823328,1.0823328
6544.870796,1.0760195,1.0760195
6551.414833,1.0760505,1.0760505
6557.95887,1.0711374,1.0711374
6564.524889,1.0646814,1.0646814
6571.090907,1.0541713,1.0541713
6577.656926,1.0458642,1.0458642
6584.233667,1.0313016,1.0313016
6590.821667,1.0234748,1.0234748
6597.409667,1.0118392,1.0118392
6604.008926,1.0097848,1.0097848
6610.618907,1.0036547,1.0036547
6617.228889,0.9918569,0.9918569
6623.849593,0.9880987,0.9880987
6630.470833,0.9830404,0.9830404
6637.102796,0.9804000,0.9804000
6643.734223,0.9778036,0.9778036
6650.377444,0.9756095,0.9756095
6657.031389,0.9794465,0.9794465
6663.685333,0.9798539,0.9798539
6670.35,0.9774727,0.9774727
6677.025926,0.9737872,0.9737872
6683.701851,0.9697707,0.9697707
6690.3885,0.9658648,0.9658648
6697.075149,0.9589328,0.9589328
6703.773056,0.9515064,0.9515064
6710.470963,0.9459507,0.9459507
6717.190851,0.9421817,0.9421817
6723.910204,0.9356916,0.9356916
6730.630093,0.9300689,0.9300689
6737.360704,0.9199552,0.9199552
6744.102574,0.9070650,0.9070650
6750.844444,0.9059849,0.9059849
6757.597037,0.9010586,0.9010586
6764.34963,0.8991831,0.8991831
6771.113481,0.8945603,0.8945603
6777.888056,0.8965145,0.8965145
6784.66263,0.8973644,0.8973644
6791.448463,0.9018105,0.9018105
6798.245019,0.9012215,0.9012215
6805.041574,0.9013740,0.9013740
6811.849389,0.9024283,0.9024283
6818.656667,0.9096321,0.9096321
