wavelength,flux
5790,1.277e-17
5792,1.72e-17
5795,1.756e-17
5797,1.678e-17
5799,1.704e-17
5802,2.567e-17
5804,1.867e-17
5807,1.772e-17
5809,1.873e-17
5812,1.594e-17
5814,1.545e-17
5816,1.09e-17
5819,1.719e-17
5821,1.531e-17
5824,2.15e-17
5826,1.484e-17
5829,1.658e-17
5831,2.065e-17
5833,8.514e-18
5836,1.479e-17
5838,1.785e-17
5841,1.603e-17
5843,1.807e-17
5846,1.836e-17
5848,1.808e-17
5850,2.29e-17
5853,1.574e-17
5855,1.653e-17
5858,1.943e-17
5860,1.483e-17
5863,1.774e-17
5865,1.644e-17
5867,2.243e-17
5870,1.974e-17
5872,1.855e-17
5875,2.024e-17
5877,1.979e-17
5880,1.773e-17
5882,1.686e-17
5884,1.801e-17
5887,1.771e-17
5889,1.663e-17
5892,1.828e-17
5894,1.931e-17
5897,2.097e-17
5899,2.427e-17
5901,2.154e-17
5904,2.009e-17
5906,1.771e-17
5909,2.112e-17
5911,1.887e-17
5914,1.817e-17
5916,1.816e-17
5918,1.814e-17
5921,1.813e-17
5923,1.812e-17
5926,1.811e-17
5928,1.81e-17
5931,1.808e-17
5933,1.807e-17
5935,1.806e-17
5938,1.805e-17
5940,1.803e-17
5943,1.802e-17
5945,1.801e-17
5948,1.8e-17
5950,1.799e-17
5952,1.797e-17
5955,1.796e-17
5957,1.795e-17
5960,1.794e-17
5962,8.556e-18
5965,1.521e-17
5967,2.395e-17
5969,1.138e-17
5972,1.503e-17
5974,1.609e-17
5977,1.778e-17
5979,1.468e-17
5982,1.833e-17
5984,1.712e-17
5986,1.534e-17
5989,1.598e-17
5991,1.556e-17
5994,1.933e-17
5996,2.615e-17
5999,1.45e-17
6001,1.217e-17
6004,2.078e-17
6006,1.22e-17
6008,1.074e-17
6011,8.089e-18
6013,9.161e-18
6016,1.005e-17
6018,1.702e-17
6021,1.57e-17
6023,1.069e-17
6025,9.788e-18
6028,1.7e-17
